        Time                Re               Vy
 1000.000000    2.44054598e-01    2.44054598e-04
 2000.000000    3.23423896e-01    3.23423896e-04
 3000.000000    3.63921709e-01    3.63921709e-04
 4000.000000    3.90899170e-01    3.90899170e-04
 5000.000000    4.12788356e-01    4.12788356e-04
 6000.000000    4.28829567e-01    4.28829567e-04
 7000.000000    4.45171709e-01    4.45171709e-04
 8000.000000    4.57656158e-01    4.57656158e-04
 9000.000000    4.70287654e-01    4.70287654e-04
 10000.000000    4.80599716e-01    4.80599716e-04
 11000.000000    4.90205843e-01    4.90205843e-04
 12000.000000    4.98219502e-01    4.98219502e-04
 13000.000000    5.05149477e-01    5.05149477e-04
 14000.000000    5.10615817e-01    5.10615817e-04
 15000.000000    5.15180529e-01    5.15180529e-04
 16000.000000    5.17964391e-01    5.17964391e-04
 17000.000000    5.20523097e-01    5.20523097e-04
 18000.000000    5.20609891e-01    5.20609891e-04
 19000.000000    5.21366653e-01    5.21366653e-04
 20000.000000    5.19108156e-01    5.19108156e-04
 21000.000000    5.18260295e-01    5.18260295e-04
 22000.000000    5.14126907e-01    5.14126907e-04
 23000.000000    5.11896047e-01    5.11896047e-04
 24000.000000    5.06372197e-01    5.06372197e-04
 25000.000000    5.03045632e-01    5.03045632e-04
